Address,Allocation %
0x9b4dd5ae78c4518a5f48e0082d234580b2f6b7ac,0.06867619261%
0xd7839904569399c386bdd8701db017339c6af798,0.06823480373%
0x7453019b806919563eac33870fe5f8e5154fdf38,0.06805539983%
0xb4ee962f90fc1ba210611ea294e28ca3dc719c4f,0.06759002697%
0xf381ac89f1ae4cc2b1e0b2e8696bcaa4923218f0,0.06718664965%
0xd7b1893bdf02bf7edfe8d473b0bc08d74a6e7a35,0.06717423602%
0x8dcdb2db0268cde7b5c55492ef31e4fa3d187ac8,0.06709239132%
0xa849b92e452148cb1e76121c0e60a301019cb5b5,0.06703627848%
0x4f1dd461272f2cb88e169c863e1fde29769869ae,0.06677582097%
0x4f49c34759b7e888ce77de9dd34fec63d63495cc,0.06675909404%
0xf0a4cd57ac7e75b92d8b23881e99d73b24946bd4,0.06662134474%
0x629b4c88c5c2cf893800bd6b0424b24c2dcc3367,0.06659655451%
0x3975dd7e5680087c69e273e592e57067eb0d0922,0.06658827075%
0xb2df35bd65f6443e337f00101b8aefd707fb49dd,0.06655977857%
0x108cf8c873c154e17681fa49b5176a77ca992021,0.06655055775%
0xe6da940b94d158690b06f717be19ac7626ee050c,0.06653282893%
0xd98942f2d07890591dc7aaf78a2c05b2355839bb,0.06652936718%
0xbd4e80e522beecfe0b8c8b2c970c9cfff8054f2e,0.06652205160%
0xdf35ab11698d61891f81126b6e391dd6e43db5bd,0.06651489463%
0x0c40c6c5beb92ad6973cd9a13e2a36a5243880e3,0.06642047508%
0x672c103829cf916d8f098a60b0fd7b5baac32439,0.06641710802%
0x11cd4e7dc1e870d636db024aa75acc12da07ee4f,0.06639318306%
0xdd67040b1bbdfbed325037cdc9c686a40b16578f,0.06639242777%
0xf25fb7aec441fc7d2464aa3e1b4db9c34d958617,0.06638406011%
0x7f6aba7563cb5d31980d440337d3d1a6e3db58f3,0.06352070088%
0xf123e9b47aa50265d01cb0b69b2b027ab8e5470e,0.06326656087%
0xd3efb39f06379d05f5ca1f3dfa03c26afc74de9f,0.06282277091%
0x5b1fee31fdc3d15d6bd7f0062e4713ebd3a4c847,0.06281050387%
0xb3740abc4feaae8eb6edd180fc3d46f43f143949,0.06258007080%
0x5c2061bbbcd3dd45ead3e6eedde812b3c4dbb9d0,0.06250387475%
0x5c226cfa6095b34b9667fe3cae36a9a4fd61f019,0.06239830468%
0x11471092aa50f7f6a01b0687c5730d702c0f0600,0.06237829136%
0xd60bcf7c621816d689dc6b76bc0c2b8d7f8b2cb5,0.06235457152%
0xf0204ee2367ac166cf88ce8f17e975fecfcda7ec,0.06229779972%
0x1691565c9e5846b348bf21707521e492614df376,0.06229743942%
0xa5056fea4e57953c8f48b34993e119edf9b69f36,0.06228753594%
0x5de481dbdc77a56950be2b209a82cd34951335a1,0.06227220158%
0xbe09692286db9c51758c01a50051348ac205cfe6,0.06225921487%
0xc6f37fd79af8e95a195bf48059ab070c32dff01e,0.06224499212%
0xbeb1c6d7c7ba90502d289e3cc37c3efa44ede499,0.06216837042%
0xed32c4a1d690530a21e259525aa5b7a633f220ac,0.06126137763%
0xd3aedfb019edc1b55988d273dc68c7babbe2fec4,0.06115841831%
0xffbf2804e61919448f4add7b6636acb8be2e26d9,0.06101811102%
0x3eedb85da27cac4ec83ab5a8a38f18b0edbc7042,0.06039666613%
0x1874fc5f915aa9fd24c379fe7f9ec40607cef78a,0.06034427368%
0xed53c087b05d1360e78f8a3e4dc59f8d342296f9,0.06000445512%
0xe55ecbb4ac3861e748ea20bfbff2d445c9c00fba,0.05968186130%
0x20ea21b8c700c9186f4f910db0a39578f13156ea,0.05902624137%
0xbad19b2235319df3c6a9549b8e1044312a274441,0.05884097473%
0x0fe6a48278aa234e5c7cf6c5e587084fc08c66c9,0.05861450351%
0x665a60aed0685f2b9a81b2be8a194f71b49d7965,0.05839395278%
0xf91b9254f8fd14b36c7e5c2203f36abb192cd082,0.05834316985%
0x50f1828436f7367b98ba113e6c5e42c62dd4320a,0.05833997025%
0x8dffe11a39baeb696f50dc9002a1a722583be842,0.05833339011%
